Date,House_Price_Index,Stock_Price_Index,Consumer_Price_Index,Population,Unemployment_Rate,Real_GDP,Mortgage_Rate,Real_Disposable_Income
1987-01-01,63.735,14.97068,46.91647,153968000.0,6.6,2.41735,9.204,6159.5
1987-02-01,64.134,15.86818,47.08523,154123000.0,6.6,4.57724,9.0825,6192.1
1987-03-01,64.47,16.48206,47.29619,154229000.0,6.6,3.87276,9.035,6200.0
1987-04-01,64.974,16.22884,47.54933,154362000.0,6.3,4.83973,9.8325,5967.2
1987-05-01,65.549,16.14232,47.7181,154490000.0,6.3,4.51565,10.596,6209.1
1987-06-01,66.22,16.79351,47.88686,154605000.0,6.2,2.73315,10.5375,6200.8
1987-07-01,66.787,17.25948,48.01343,154727000.0,6.1,2.50173,10.278,6218.1
1987-08-01,67.27,18.23986,48.26658,154811000.0,6.0,3.06269,10.33,6244.2
1987-09-01,67.624,17.67034,48.51973,154937000.0,5.9,7.5085,10.8875,6244.3
1987-10-01,67.902,15.56062,48.6463,155054000.0,6.0,9.65063,11.26,6284.5
1987-11-01,68.092,13.58801,48.68849,155168000.0,5.8,5.72805,10.65,6308.9
1987-12-01,68.344,13.3575,48.68849,155258000.0,5.7,2.79289,10.64,6365.4
1988-01-01,68.583,13.91834,48.81506,155396000.0,5.7,-0.74984,10.3825,6378.8
1988-02-01,68.916,14.37273,48.94164,155503000.0,5.7,2.08974,9.8925,6416.0
1988-03-01,69.325,14.84251,49.15259,155607000.0,5.7,5.31818,9.93,6442.2
1988-04-01,69.79,14.70187,49.40574,155702000.0,5.4,7.36538,10.202,6464.3
1988-05-01,70.409,14.35853,49.5745,155830000.0,5.6,4.60213,10.455,6473.4
1988-06-01,71.068,15.12444,49.78546,155985000.0,5.4,2.96125,10.46,6497.4
1988-07-01,71.686,15.06437,49.99641,156130000.0,5.4,0.47343,10.432,6524.5
1988-08-01,72.185,14.78065,50.20737,156203000.0,5.6,2.16221,10.5975,6542.8
1988-09-01,72.574,15.00061,50.5449,156284000.0,5.4,4.75155,10.48,6555.5
1988-10-01,72.823,15.48469,50.71366,156395000.0,5.4,6.13218,10.3025,6590.4
1988-11-01,73.065,15.11941,50.75585,156447000.0,5.3,6.11954,10.265,6592.6
1988-12-01,73.279,15.38439,50.84024,156527000.0,5.3,5.37072,10.612,6625.1
1989-01-01,73.618,15.88492,51.09338,156752000.0,5.4,3.88311,10.73,6653.4
1989-02-01,73.969,16.3478,51.30434,156812000.0,5.2,2.33293,10.645,6673.2
1989-03-01,74.411,16.30056,51.59967,156886000.0,5.0,3.21547,11.032,6706.7
1989-04-01,74.868,16.7725,51.9372,156959000.0,5.2,3.1356,11.05,6672.3
1989-05-01,75.296,17.35978,52.23254,157044000.0,5.2,2.66746,10.7725,6641.7
1989-06-01,75.697,17.90099,52.35911,157177000.0,5.3,3.86258,10.196,6660.5
1989-07-01,76.043,18.33109,52.48569,157284000.0,5.2,2.63411,9.8825,6683.9
1989-08-01,76.274,19.10661,52.57007,157385000.0,5.2,4.22558,9.985,6701.6
1989-09-01,76.422,19.11225,52.73883,157474000.0,5.3,-0.16849,10.126,6721.7
1989-10-01,76.489,19.06244,52.99198,157568000.0,5.3,-1.21691,9.9475,6754.8
1989-11-01,76.522,18.66268,53.11855,157612000.0,5.4,1.48508,9.7675,6761.3
1989-12-01,76.498,19.07521,53.20293,157703000.0,5.4,3.87224,9.744,6761.4
1990-01-01,76.527,18.56648,53.75142,159353000.0,5.4,4.82064,9.895,6801.0
1990-02-01,76.587,18.07759,54.00457,159442000.0,5.3,6.25524,10.1975,6815.1
1990-03-01,76.79,18.44583,54.2999,159547000.0,5.2,2.95386,10.268,6816.9
1990-04-01,77.038,18.38141,54.38428,159631000.0,5.4,-0.62873,10.37,6860.6
1990-05-01,77.297,18.94923,54.51086,159724000.0,5.4,0.77584,10.4775,6852.4
1990-06-01,77.505,19.47706,54.8062,159812000.0,5.2,1.18052,10.164,6862.3
